stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
STA-CTMENN1,CTMENN1,MENNONERIE,49.04829273,3.38330937,0,Europe/Paris,0
STA-ESMMUGU1,ESMMUGU1,ESMMUGUET1,49.03626574,3.4149882,0,Europe/Paris,0
STA-NELNOUV2,NELNOUV2,NESLES NOUVEAU,49.02464402,3.41189376,0,Europe/Paris,0
STA-ESSFERR2,ESSFERR2,PL FERREOL,49.02980198,3.37504569,0,Europe/Paris,0
STA-CTDOUM4,CTDOUM4,PDOUMER 4,49.03982864,3.40492985,0,Europe/Paris,0
STA-CTPRAI1,CTPRAI1,PRAIRIE,49.03868702,3.40048955,0,Europe/Paris,0
STA-CTROST1,CTROST1,J.ROSTAND,49.05920155,3.3840432,0,Europe/Paris,0
STA-CTFERE2,CTFERE2,RUE DE FERE,49.04767327,3.40007885,0,Europe/Paris,0
STA-CTLEMA1,CTLEMA1,LE MARCHIS,49.081289,3.38532652,0,Europe/Paris,0
STA-CTLOUV1,CTLOUV1,LOUVETS,49.05243264,3.38833907,0,Europe/Paris,0
STA-CHRMARI1,CHRMARI1,LES MARINIERS,49.03756485,3.43243601,0,Europe/Paris,0
STA-CTFOND2,CTFOND2,FONDERIE,49.05685862,3.39505699,0,Europe/Paris,0
STA-CTOTMUS2,CTOTMUS2,OTMUS,49.0479516,3.38906745,0,Europe/Paris,0
STA-CTCITE1,CTCITE1,PARC CITELIUM,49.06454983,3.3912558,0,Europe/Paris,0
STA-CTGALC1,CTGALC1,GALLEGO,49.03721657,3.38282578,0,Europe/Paris,0
STA-CTVINCE1,CTVINCE1,VINCELLES,49.0504598,3.3751583,0,Europe/Paris,0
STA-CTREPU1,CTREPU1,REPUBLIQUE,49.04006613,3.40714596,0,Europe/Paris,0
STA-NELPETR1,NELPETR1,PETRET,49.00593488,3.43998415,0,Europe/Paris,0
STA-CTCEU3,CTCEU3,CARREFOUR DE L EUROPE (L4B),49.03528516,3.39164735,0,Europe/Paris,0
