route_id,service_id,trip_id,trip_short_name,direction_id
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6191,6191,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6192,6192,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6193,6193,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6194,6194,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6195,6195,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6196,6196,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6197,6197,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6198,6198,0
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6199,6199,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6200,6200,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6201,6201,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6202,6202,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6203,6203,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6204,6204,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6205,6205,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6206,6206,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6207,6207,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6208,6208,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6209,6209,1
04B_1,chouette:TimeTable:3a430f8a-b60f-417f-8355-1b8281456efc:LOC,6210,6210,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6211,6211,0
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6212,6212,0
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6213,6213,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6214,6214,0
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6215,6215,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6216,6216,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6217,6217,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6218,6218,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6219,6219,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6220,6220,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6221,6221,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6222,6222,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6223,6223,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6224,6224,0
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6225,6225,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6226,6226,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6227,6227,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6228,6228,0
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6230,6230,1
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6231,6231,1
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6232,6232,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6233,6233,1
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6234,6234,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6235,6235,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6236,6236,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6237,6237,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6238,6238,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6239,6239,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6240,6240,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6241,6241,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6242,6242,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6243,6243,1
01A_1,chouette:TimeTable:ba1db178-be69-4ee0-8467-84dc89bd4df7:LOC,6244,6244,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6245,6245,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6246,6246,1
01A_1,chouette:TimeTable:2e72c03a-4344-4c4a-9364-5953ad14ec5e:LOC,6247,6247,1
01A_1,chouette:TimeTable:4d924914-9709-4a58-9166-ef1621faa029:LOC,6248,6248,0
